[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_reply` [ RunTime:0.013000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT IndexUser.id AS id,IndexUser.username AS username,reply.reply_msg AS reply_msg,reply.reply_time AS reply_time,reply.uid AS uid,reply.aid AS aid FROM wl_index_user IndexUser LEFT JOIN wl_reply reply ON IndexUser.id=reply.uid WHERE ( reply.aid IN ('3') )  [ RunTime:0.000000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --START--
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.005001s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005001s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.038002s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.039002s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009000s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --START--
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002001s ]
[ 2016-08-20T11:06:19+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002001s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --START--
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,IndexUser.username AS username,IndexUser.experience AS experience FROM wl_question question LEFT JOIN wl_index_user IndexUser ON question.uid = IndexUser.id WHERE ( question.id = 3 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.011001s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_reply` [ RunTime:0.011001s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT IndexUser.id AS id,IndexUser.username AS username,reply.reply_msg AS reply_msg,reply.reply_time AS reply_time,reply.uid AS uid,reply.aid AS aid FROM wl_index_user IndexUser LEFT JOIN wl_reply reply ON IndexUser.id=reply.uid WHERE ( reply.aid IN ('3') )  [ RunTime:0.001000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --START--
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-08-20T11:06:30+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.040002s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040002s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007001s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --START--
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:31+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ route_check ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_template ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run LocationTemplate Behavior [ RunTime:0.004000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run ParseTemplate Behavior [ RunTime:0.025002s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025002s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_end ] --START--
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:06:33+08:00 ] /QA/index.php/Member/index/id/1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,IndexUser.username AS username,IndexUser.experience AS experience FROM wl_question question LEFT JOIN wl_index_user IndexUser ON question.uid = IndexUser.id WHERE ( question.id = 3 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.012001s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_reply` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT IndexUser.id AS id,IndexUser.username AS username,reply.reply_msg AS reply_msg,reply.reply_time AS reply_time,reply.uid AS uid,reply.aid AS aid FROM wl_index_user IndexUser LEFT JOIN wl_reply reply ON IndexUser.id=reply.uid WHERE ( reply.aid IN ('3') )  [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.031002s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031002s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001001s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --START--
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:05+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.009000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,IndexUser.username AS username,IndexUser.experience AS experience FROM wl_question question LEFT JOIN wl_index_user IndexUser ON question.uid = IndexUser.id WHERE ( question.id = 3 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_reply` [ RunTime:0.009000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT IndexUser.id AS id,IndexUser.username AS username,reply.reply_msg AS reply_msg,reply.reply_time AS reply_time,reply.uid AS uid,reply.aid AS aid FROM wl_index_user IndexUser LEFT JOIN wl_reply reply ON IndexUser.id=reply.uid WHERE ( reply.aid IN ('3') )  [ RunTime:0.001001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.031001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004001s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --START--
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:06+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --START--
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --START--
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.010001s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT question.id AS id,question.ask_content AS ask_content,question.money_reward AS money_reward,question.solve AS solve,question.ask_time AS ask_time,question.cid AS cid,question.answer AS answer,question.uid AS uid,IndexUser.username AS username,IndexUser.experience AS experience FROM wl_question question LEFT JOIN wl_index_user IndexUser ON question.uid = IndexUser.id WHERE ( question.id = 3 ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_answer` [ RunTime:0.011001s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 1 ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT COUNT(*) AS tp_count FROM `wl_answer` WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 1   [ RunTime:0.001001s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT answer.id AS id,answer.answer_content AS answer_content,answer.answer_time AS answer_time,IndexUser.id AS uid,IndexUser.username AS username,IndexUser.experience AS experience,IndexUser.answer AS answer,IndexUser.adopt AS adopt FROM wl_answer answer LEFT JOIN wl_index_user IndexUser ON answer.uid=IndexUser.id WHERE ( `qid` = 3 ) AND ( answer.adopt = 0 ) LIMIT 0,10   [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SHOW COLUMNS FROM `wl_reply` [ RunTime:0.010001s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | SQL: SELECT IndexUser.id AS id,IndexUser.username AS username,reply.reply_msg AS reply_msg,reply.reply_time AS reply_time,reply.uid AS uid,reply.aid AS aid FROM wl_index_user IndexUser LEFT JOIN wl_reply reply ON IndexUser.id=reply.uid WHERE ( reply.aid IN ('3') )  [ RunTime:0.001000s ]
[ 2016-08-20T11:08:14+08:00 ] /QA/index.php/Show/index/id/3 | INFO: Tag[ view_template ] --START--
